episode,reward,drop_rate,avg_lat,avg_eng,avg_loss,epsilon,buffer_size,action_0,action_1,action_2,action_3
238,-86.0938,0.01,0.2828,1.8257,0.302069,0.01,47600,0.33,0.285,0.135,0.11
239,-81.8437,0.01,0.2867,1.7696,0.30186,0.01,47800,0.27,0.33,0.15,0.14
240,-73.8343,0.005,0.2793,1.8887,0.301651,0.01,48000,0.285,0.36,0.095,0.13
241,-90.6296,0.015,0.2988,1.831,0.3015,0.01,48200,0.23,0.335,0.135,0.13
242,-95.6782,0.015,0.3096,1.9098,0.301254,0.01,48400,0.275,0.275,0.21,0.14
243,-79.9943,0.01,0.2607,1.8264,0.301034,0.01,48600,0.35,0.355,0.095,0.115
244,-78.679,0.01,0.2628,1.8339,0.300822,0.01,48800,0.37,0.345,0.085,0.135
245,-85.4978,0.01,0.2907,1.8684,0.300569,0.01,49000,0.325,0.295,0.16,0.115
246,-93.5872,0.02,0.3124,1.7697,0.300179,0.01,49200,0.295,0.21,0.185,0.15
247,-100.416,0.02,0.3072,1.8335,0.299913,0.01,49400,0.3,0.255,0.145,0.19
248,-99.4417,0.02,0.2991,1.8095,0.299632,0.01,49600,0.385,0.18,0.205,0.15
249,-84.0999,0.015,0.2954,1.8678,0.299384,0.01,49800,0.33,0.25,0.12,0.13
250,-76.8491,0.01,0.2786,1.8425,0.299209,0.01,50000,0.285,0.36,0.09,0.13
251,-95.9587,0.02,0.2915,1.8192,0.298998,0.01,50000,0.34,0.23,0.145,0.135
252,-83.0151,0.01,0.2843,1.7583,0.298749,0.01,50000,0.3,0.32,0.13,0.18
253,-79.4621,0.005,0.268,1.8275,0.298491,0.01,50000,0.325,0.35,0.13,0.105
254,-110.3321,0.03,0.2711,1.886,0.298274,0.01,50000,0.285,0.385,0.07,0.18
255,-97.4425,0.02,0.3045,1.8614,0.298006,0.01,50000,0.31,0.225,0.105,0.16
256,-92.0986,0.015,0.2927,1.8437,0.297756,0.01,50000,0.405,0.175,0.15,0.13
257,-93.4444,0.015,0.308,1.7776,0.297627,0.01,50000,0.245,0.275,0.18,0.11
258,-100.0487,0.015,0.2753,1.8006,0.297389,0.01,50000,0.45,0.215,0.155,0.09
259,-93.4956,0.015,0.3219,1.866,0.297192,0.01,50000,0.17,0.325,0.215,0.15
260,-77.5643,0.005,0.2572,1.8192,0.296911,0.01,50000,0.28,0.435,0.1,0.12
261,-79.8749,0.01,0.2677,1.7636,0.296591,0.01,50000,0.345,0.31,0.08,0.12
262,-80.0945,0.005,0.2901,1.8726,0.296335,0.01,50000,0.275,0.36,0.16,0.15
263,-76.7623,0.005,0.2682,1.851,0.296134,0.01,50000,0.35,0.355,0.105,0.125
264,-70.3457,0.0,0.2635,1.7912,0.295913,0.01,50000,0.315,0.395,0.125,0.13
265,-80.0407,0.005,0.2469,1.817,0.295719,0.01,50000,0.27,0.495,0.07,0.135
266,-98.7799,0.02,0.26,1.7674,0.295474,0.01,50000,0.35,0.37,0.08,0.135
267,-90.271,0.02,0.2763,1.8616,0.295135,0.01,50000,0.33,0.295,0.085,0.14
268,-88.1864,0.015,0.3126,1.8375,0.294836,0.01,50000,0.265,0.26,0.17,0.185
269,-91.2117,0.015,0.2645,1.8371,0.29463,0.01,50000,0.415,0.275,0.08,0.145
270,-97.1796,0.015,0.3016,1.7791,0.294352,0.01,50000,0.35,0.21,0.185,0.15
271,-90.9006,0.015,0.3165,1.8303,0.294107,0.01,50000,0.26,0.26,0.175,0.175
272,-88.2531,0.015,0.2883,1.8095,0.294028,0.01,50000,0.315,0.275,0.115,0.15
